Simulation Number,Story ID,Initial Framing,Input type,Mode,Role selection,Current Agent ID,Transferred From Agent ID,Role,Original Message,Message,Similarity To Previous,Global Similarity To Original,Sentiment Analysis,Propagation Depth
1,0,centre,headline,text,random,39,0,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl",At least 17 people were killed over the fourth of July weekend in a series of shootings that included a seven year old girl.,0.8167648315429688,0.8167648315429688,"{'label': 'negative', 'confidence': 0.8853248357772827}",1
1,0,centre,headline,text,random,2,0,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Multiple shooting incidents occurred over the Fourth of July weekend, resulting in at least 17 fatalities, including a 7-year-old girl.",0.8541680574417114,0.8541680574417114,"{'label': 'negative', 'confidence': 0.7986355423927307}",1
1,0,centre,headline,text,random,38,0,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","At least 17 people, including a 7-year-old girl, were killed in gun violence over the Fourth of July weekend.",0.8919153213500977,0.8919153213500977,"{'label': 'negative', 'confidence': 0.8250669836997986}",1
1,0,centre,headline,text,random,8,0,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","At least 17 people were killed in a series of shootings over the Fourth of July weekend, including a 7-year-old girl.",0.8023354411125183,0.8023354411125183,"{'label': 'negative', 'confidence': 0.8641664385795593}",1
1,0,centre,headline,text,random,37,39,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","At least 17 people, including a 7-year-old girl, were fatally shot during a series of shootings over the Fourth of July weekend.",0.9274805188179016,0.791399359703064,"{'label': 'negative', 'confidence': 0.8028643131256104}",2
1,0,centre,headline,text,random,1,39,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A series of shootings occurred over the Fourth of July weekend, resulting in at least 17 deaths, including one child, a 7-year-old girl.",0.8960585594177246,0.8566000461578369,"{'label': 'negative', 'confidence': 0.8436412215232849}",2
1,0,centre,headline,text,random,3,2,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Tragedy struck on the Fourth of July weekend as multiple shootings marred celebrations across the country, leaving a heartbreaking toll of at least 17 lives lost, including a young 7-year-old girl whose future was tragically cut short.",0.8482353687286377,0.7503212690353394,"{'label': 'negative', 'confidence': 0.8966392278671265}",2
1,0,centre,headline,text,random,10,2,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A series of devastating shootings marred the Fourth of July celebrations, claiming the lives of at least 17 innocent people, with a heartbreaking loss that included a young 7-year-old girl.",0.8646622896194458,0.7883013486862183,"{'label': 'negative', 'confidence': 0.9125413298606873}",2
1,0,centre,headline,text,random,36,38,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A wave of tragic shootings claimed at least 17 lives, including those of an innocent 7-year-old child, during a devastating and deadly period of violence that marred the already tumultuous Fourth of July weekend.",0.8158777356147766,0.7579317092895508,"{'label': 'negative', 'confidence': 0.9175723791122437}",2
1,0,centre,headline,text,random,7,8,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A devastating wave of violence swept across the country on the Fourth of July weekend, claiming the lives of at least 17 innocent individuals, including a heartbreaking young victim, a 7-year-old girl, who was senselessly taken from her family and loved ones.",0.6561959981918335,0.7258262634277344,"{'label': 'negative', 'confidence': 0.911746621131897}",2
1,0,centre,headline,text,random,9,8,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A tragic series of shootings marred the festivities of the Fourth of July weekend, resulting in at least 17 lives lost and leaving a community in shock, particularly after the devastating loss of a young 7-year-old girl.",0.804621696472168,0.7839430570602417,"{'label': 'negative', 'confidence': 0.9080464839935303}",2
1,0,centre,headline,text,random,6,8,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A devastating string of violent incidents marred the country's Independence Day celebrations, resulting in the tragic loss of at least 17 lives, with a particularly heart-wrenching casualty being a 7-year-old innocent child.",0.5562447905540466,0.6066303849220276,"{'label': 'negative', 'confidence': 0.9214235544204712}",2
1,0,centre,headline,text,random,35,37,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A devastating wave of violence swept across the country over the long Fourth of July weekend, claiming the lives of at least 17 innocent individuals - including a young 7-year-old girl - in a series of heartbreaking and tragic shootings.",0.6968646049499512,0.7720696926116943,"{'label': 'negative', 'confidence': 0.9180012345314026}",3
1,0,centre,headline,text,random,23,1,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","At least 17 people were killed, including a young 7-year-old girl, in a devastating spree of gun violence that marred the already tumultuous Fourth of July holiday weekend.",0.8225200176239014,0.8151018023490906,"{'label': 'negative', 'confidence': 0.9067967534065247}",3
1,0,centre,headline,text,random,4,3,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A devastating wave of violence swept through Independence Day celebrations nationwide, resulting in a staggering total of at least 17 fatalities, with a particularly poignant victim being a 7-year-old child who was senselessly taken from her family.",0.7147634029388428,0.6562930345535278,"{'label': 'negative', 'confidence': 0.9197176694869995}",3
1,0,centre,headline,text,random,11,10,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Tragedy struck on Independence Day as a series of senseless shootings left a trail of heartbreak and loss, claiming the lives of at least 17 innocent victims, including a precious 7-year-old girl whose life was cut short far too soon.",0.7440897226333618,0.628516435623169,"{'label': 'negative', 'confidence': 0.9010168313980103}",3
1,0,centre,headline,text,random,12,10,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","Tragedy struck on a normally joyous day as multiple senseless shootings unfolded during Independence Day festivities, resulting in the loss of at least 17 precious lives, including one particularly heart-wrenching victim - a 7-year-old child who was just beginning to experience life's adventures.",0.7843232154846191,0.6498839855194092,"{'label': 'negative', 'confidence': 0.8656558990478516}",3
1,0,centre,headline,text,random,5,7,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","On the Fourth of July weekend, a surge in violent incidents occurred across the country, resulting in the deaths of at least 17 people, with one being a 7-year-old girl who lost her life tragically.",0.8876235485076904,0.7850937843322754,"{'label': 'negative', 'confidence': 0.8860393166542053}",3
1,0,centre,headline,text,random,33,35,negative,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A disturbing surge of violence marred the traditionally festive Fourth of July holiday, resulting in the heartbreaking loss of at least 17 precious lives, with one particularly devastating incident claiming the life of a sweet 7-year-old girl.",0.8400304317474365,0.7264874577522278,"{'label': 'negative', 'confidence': 0.9217407703399658}",4
1,0,centre,headline,text,random,22,23,positive,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A horrific spree of unrelenting gunfire left at least 17 people dead, including an innocent 7-year-old child, casting a dark cloud over an already chaotic and violent Fourth of July holiday weekend.",0.8947237133979797,0.7654200792312622,"{'label': 'negative', 'confidence': 0.9212598204612732}",4
1,0,centre,headline,text,random,24,23,neutral,"Bullets just came from nowhere: Fourth of July weekend gun violence kills at least 17, including 7-year-old-girl","A horrific and deadly outbreak of gunfire occurred over the troubled Fourth of July holiday period, resulting in at least 17 fatalities, with a tragic loss of a 7-year-old child among them.",0.7719899415969849,0.7923510670661926,"{'label': 'negative', 'confidence': 0.9089586138725281}",4
